DOI,Title,Authors,Affiliations,Funding Sources,Abstract,Year,URL,Chemicals Mentioned,Chemicals with InChIKey
10.1021/esv054i009_1375374,Issue Editorial Masthead,,,Not Found,Not Found,2020.0,https://doi.org/10.1021/esv054i009_1375374,No chemicals found,No chemicals found
10.1021/acs.est.0c02050,Response to Comment on “Puffed Rice Carbon with Coupled Sulfur and Metal Iron for High-Efficiency Mercury Removal in Aqueous Solution”,"Fang, Ruyi, Lu, Chengwei, Xia, Yang","College of Materials Science and Engineering, Zhejiang University of Technology, Hangzhou 310014, China | College of Materials Science and Engineering, Zhejiang University of Technology, Hangzhou 310014, China | College of Materials Science and Engineering, Zhejiang University of Technology, Hangzhou 310014, China",Not Found,,2020.0,https://doi.org/10.1021/acs.est.0c02050,No chemicals found,No chemicals found
10.1021/acs.est.0c01306,Permeability is the Critical Factor Governing the Life Cycle Environmental Performance of Drinking Water Treatment Using Living Filtration Membranes,"Jiang, Daqian, Hou, Dianxun, Bechtel, Carson, Zodrow, Katherine R., Myers, Rupert J., Zhang, Tianyu","Environmental Engineering Department, Montana Technological University, Butte Montana 59701, United States | WaterNova Group, Lakewood, Colorado 80227, United States | Environmental Engineering Department, Montana Technological University, Butte Montana 59701, United States | Environmental Engineering Department, Montana Technological University, Butte Montana 59701, United States | Department of Civil and Environmental Engineering, Imperial College London, London, SW7 2AZ, U.K. | Department of Mathematical Sciences, Montana State University, Bozeman, Montana 59717, United States","Division of Chemical, Bioengineering, Environmental, and Transport Systems; Army Research Laboratory","Living Filtration Membranes (LFMs) are a water filtration technology that was recently developed in the lab (Technology Readiness Level 4). LFMs have shown filtration performance comparable with that of ultrafiltration, far better fouling resistance than conventional polymer membranes, and good healing capabilities. These properties give LFMs promise to address two significant issues in conventional membrane filtration - fouling and membrane damage. To integrate environmental considerations into future technology development (i.e., Ecodesign), this study assesses the life cycle environmental performance of LFMs treating drinking water under likely design and operation conditions. It also quantitatively ranks the engineering design and operation factors governing the further optimization of LFMs' environmental performance using a global sensitivity analysis. The results suggest that LFMs' superior fouling resistance will reduce the life cycle environmental impacts of ultrafiltration by 25% compared to a conventional polymer membrane in most impact categories (e.g., Acidification, Global Warming Potential and Carcinogenics). The only exception is the eutrophication impacts, where the need for growth medium and membrane regeneration offsets the benefits of LFMs' fouling resistance. Permeability is the most important factor that should be prioritized in future R&D to further improve LFMs' life cycle environmental performance. A 1% improvement in the permeability will lead to a ~0.7% improvement in LFMs' environmental performance in all the impact categories, whereas the same change in the other parameters investigated (e.g. LFM lifespan and regeneration frequency) typically only leads to a <0.2% improvement.",2020.0,https://doi.org/10.1021/acs.est.0c01306,No chemicals found,No chemicals found
10.1021/acs.est.0c01341,Lime and/or Phosphate Application Affects the Stability of Soil Organic Carbon: Evidence from Changes in Quantity and Chemistry of the Soil Water-Extractable Organic Matter,"Li, Yang, Wang, Tao, Camps-Arbestain, Marta, Suárez-Abelenda, Manuel, Whitby, Catherine P.","School of Agriculture and Environment, Massey University, Private Bag 11222, Palmerston North 4442, New Zealand | Department of Biology, Microbial Ecology Group, Lund University, Ecology Building, SE-223 62 Lund, Sweden | School of Agriculture and Environment, Massey University, Private Bag 11222, Palmerston North 4442, New Zealand | Departamento de Edafoloxía e Química Agrícola, Facultade de Bioloxía, Universidade de Santiago de Compostela, 15782 Santiago de Compostela, Spain | School of Fundamental Sciences, Massey University, Private Bag 11222, Palmerston North 4442, New Zealand",China Scholarship Council,"The mechanisms by which lime and/or phosphate addition impacts the preservation of soil organic matter (OM) are poorly understood. We explored the changes in quantity and chemistry of water-extractable organic matter (WEOM) in the bulk soil and its heavy density fraction (>1.6 g/cm3) of an unmanaged C-rich volcanic soil caused by lime and/or phosphate application. The addition of lime or phosphate caused (i) a significant increase in the WEOM, along with a decrease in its C/N ratio and an increase in its aromaticity, and (ii) changes in the WEOM chemical composition, measured with pyrolysis-gas chromatography/mass spectrometry, this being most impacted by lime application. The combined effect of lime and phosphate addition on the quantity and chemistry of WEOM was larger than the effects of separate lime and phosphate additions. By comparing the response of the bulk soil and the heavy fraction, we infer that phosphate has a greater contribution to the destabilization of vulnerable particulate OM, while lime causes a comparable disruption in the particulate OM and that in the heavy fraction. These findings provide a mechanistic insight into the decreased OM stability after liming and/or P fertilizing Andosols. They have implications for designing climate-smart management practices for these soils.",2020.0,https://doi.org/10.1021/acs.est.0c01341,phosphate,phosphate (NBIIXXVUZAFLBC-UHFFFAOYSA-K)
10.1021/acs.est.0c08138,Addendum to Tolerance Patterns in Stream Biofilms Link Complex Chemical Pollution to Ecological Impacts,"Tlili, Ahmed, Corcoll, Natàlia, Arrhenius, Åsa, Backhaus, Thomas, Hollender, Juliane, Creusot, Nicolas, Wagner, Bettina, Behra, Renata", |  |  |  |  |  |  | ,Not Found,,2021.0,https://doi.org/10.1021/acs.est.0c08138,No chemicals found,No chemicals found
10.1021/acs.est.9b06876,Selenite Sorption on Hydrated CEM-V/A Cement in the Presence of Steel Corrosion Products: Redox vs Nonredox Sorption,"Ma, Bin, Fernandez-Martinez, Alejandro, Wang, Kaifeng, Madé, Benoît, Hénocq, Pierre, Tisserand, Delphine, Bureau, Sarah, Charlet, Laurent","Univ. Grenoble Alpes, Univ. Savoie Mont Blanc, CNRS, IRD, IFSTTAR, ISTerre, 38000 Grenoble, France; Laboratory for Concrete & Construction Chemistry, Swiss Federal Laboratories for Materials Science and Technology (Empa), 8600 Dübendorf, Switzerland | Univ. Grenoble Alpes, Univ. Savoie Mont Blanc, CNRS, IRD, IFSTTAR, ISTerre, 38000 Grenoble, France | Univ. Grenoble Alpes, Univ. Savoie Mont Blanc, CNRS, IRD, IFSTTAR, ISTerre, 38000 Grenoble, France; Decommissioning Engineering Technology Center, China Institute of Atomic Energy, 102413 Beijing, China | Andra, 1/7 rue Jean Monnet, Parc de la Croix Blanche, 92298 Châtenay-Malabry Cedex, France | Andra, 1/7 rue Jean Monnet, Parc de la Croix Blanche, 92298 Châtenay-Malabry Cedex, France | Univ. Grenoble Alpes, Univ. Savoie Mont Blanc, CNRS, IRD, IFSTTAR, ISTerre, 38000 Grenoble, France | Univ. Grenoble Alpes, Univ. Savoie Mont Blanc, CNRS, IRD, IFSTTAR, ISTerre, 38000 Grenoble, France | Univ. Grenoble Alpes, Univ. Savoie Mont Blanc, CNRS, IRD, IFSTTAR, ISTerre, 38000 Grenoble, France",Labex; China Scholarship Council; Agence Nationale pour la Gestion des D?chets Radioactifs,"Reinforced cementitious structures in nuclear waste repositories will act as barriers that limit the mobility of radionuclides (RNs) in case of eventual leakage. CEM-V/A cement, a ternary blended cement with blast furnace slag (BFS) and fly ash (FA) could be qualified and used in nuclear waste disposal. Chemical interactions between the cement and RNs are critical but not completely understood. Here, we combined wet chemistry methods, synchrotron-based X-ray techniques, and thermodynamic modelling to explore the redox interactions and non-redox sorption processes in simulated steel-reinforced CEM-V/A hydration systems using selenite as a molecular probe. Among all the steel corrosion products analysed, only the addition of Fe0 can obviously enhance the reducing ability of cement towards selenite. In comparison, steel corrosion products showed stronger reducing power in the absence of cement hydrates. Sele-nium K-edge X-ray absorption spectroscopy (XAS) revealed that selenite immobilization mechanisms included non-redox inner-/outer-sphere complexations and reductive precipita-tions of FeSe and/or Se(0). Importantly, the hydrated pristine cement showed a good reducing ability, driven by ferrous phases and (bi)sulfides (as shown by sulfur K-edge XAS) originated from BFS and FA. The overall redox potential imposed by hydrated CEM-V/A was deter-mined, hinting to a redox shift in underground cementitious structures.",2020.0,https://doi.org/10.1021/acs.est.9b06876,(bi)sulfides; sulfur; Fe0; Se(0); ferrous; Sele; selenite; FeSe,(bi)sulfides (Error); sulfur (NINIDFKCEFEMDL-UHFFFAOYSA-N); Fe0 (QRJKSPUXWPQVAD-FQJSGBEDSA-N); Se(0) (Error); ferrous (CWYNVVGOOAEACU-UHFFFAOYSA-N); Sele (BSFODEXXVBBYOC-UHFFFAOYSA-N); selenite (MCAHWIHFGHIESP-UHFFFAOYSA-L); FeSe (Error)
10.1021/acs.est.0c03160,Interfacial and Activation Energies of Environmentally Abundant Heterogeneously Nucleated Iron(III) (Hydr)oxide on Quartz,"Wu, Xuanhao, Lee, Byeongdu, Jun, Young-Shin","Department of Energy, Environmental and Chemical Engineering, Washington University, St. Louis, Missouri 63130, United States | X-ray Science Division, Argonne National Laboratory, Argonne, Illinois 60439, United States | Department of Energy, Environmental and Chemical Engineering, Washington University, St. Louis, Missouri 63130, United States",National Science Foundation,"Poorly crystalline iron(III) (hydr)oxide nanoparticles are ubiquitous in environmental systems and play a crucial role in controlling the fate and transport of contaminants. Yet, the thermodynamic and kinetic parameters, e.g., the effective interfacial (α') and apparent activation (Ea) energies, of iron(III) (hydr)oxide nucleation on earth-abundant mineral surfaces have not been determined, which hinders an accurate prediction of iron(III) (hydr)oxide formation and its interactions with other toxic or reactive ions. Here, for the first time, we report experimentally obtained α' and Ea for iron(III) (hydr)oxide nucleation on quartz mineral surfaces, by employing a flow-through, time-resolved grazing incidence small angle X-ray scattering (GISAXS). GISAXS enabled the in situ detection of iron(III) (hydr)oxide nucleation rates under different supersaturations (σ, achieved by varying pH 3.3-3.6) and temperatures (12-35ºC). By quantitative analyses based on classical nucleation theory, α' was obtained to be 34.6 mJ/m2 and Ea was quantified as 32.8 kJ/mol. The fundamental thermodynamic and kinetic parameters obtained here will advance our fundamental understanding of the surface chemistry and nucleation behavior of iron(III) (hydr)oxides in subsurface and water treatment systems, as well as their effects on the fate and transport of pollutants in natural and engineered water systems. The in situ flow-through GISAXS method can also be adapted to quantify thermodynamic and kinetic parameters at interfaces for many important solid-liquid environmental systems.",2020.0,https://doi.org/10.1021/acs.est.0c03160,iron(III) (hydr)oxide; 12-35ºC; quartz; iron(III) (hydr)oxides,iron(III) (hydr)oxide (Error); 12-35ºC (Error); quartz (VYPSYNLAJGMNEJ-UHFFFAOYSA-N); iron(III) (hydr)oxides (Error)
10.1021/acs.est.0c01857,New Data Set of Polychlorinated Dibenzo-<i>p</i>-dioxin and Dibenzofuran Half-Lives: Natural Attenuation and Rhizoremediation Using Several Common Plant Species in a Weathered Contaminated Soil,"Terzaghi, Elisa, Vergani, Lorenzo, Mapelli, Francesca, Borin, Sara, Raspa, Giuseppe, Zanardini, Elisabetta, Morosini, Cristiana, Anelli, Simone, Nastasio, Paolo, Sale, Vanna Maria, Armiraglio, Stefano, Di Guardo, Antonio","DiSAT, University of Insubria, Via Valleggio 11, Como 22100, Italy | DeFENS, University of Milan, Via Celoria 2, Milan 20133, Italy | DeFENS, University of Milan, Via Celoria 2, Milan 20133, Italy | DeFENS, University of Milan, Via Celoria 2, Milan 20133, Italy | DICMA, Sapienza University of Rome, Via Eudossiana 18, Rome 00184, Italy | DiSAT, University of Insubria, Via Valleggio 11, Como 22100, Italy | DiSAT, University of Insubria, Via Valleggio 11, Como 22100, Italy | ERSAF, Via Pola 12, Milan 20124, Italy | ERSAF, Via Pola 12, Milan 20124, Italy | ERSAF, Via Pola 12, Milan 20124, Italy | Municipality of Brescia—Museum of Natural Sciences, Via Ozanam 4, Brescia 25128, Italy | DiSAT, University of Insubria, Via Valleggio 11, Como 22100, Italy",Universit? degli Studi di Milano; Ente Regionale per i Servizi all'Agricoltura e alle Foreste,"In this paper, a new data set of polychlorinated dibenzo-p-dioxin and dibenzofuran (PCDD/Fs) half-lives (HLs) in soil is presented. Data are derived from a greenhouse experiment performed with an aged contaminated soil under semi-field conditions, obtained from a National Relevance Site (SIN) located in Northern Italy (SIN Brescia-Caffaro). Ten different treatments (combination of seven plant species with different soil conditions) were considered together with the respective controls (soil without plants). The ability of the plants to stimulate the biodegradation of these compounds was evaluated by measuring the PCDD/F concentration reduction in soil over a period of 18 months. The formation of new bound residues was excluded by using roots as a passive sampler of bioaccessible concentrations. The best treatment which significantly reduced PCDD/F concentrations in soil was the one with Festuca arundinacea (about 11–24% reduction, depending on the congener). These decreases reflected in HLs ranging from 2.5 to 5.8 years. Simulations performed with a dynamic air-vegetation-soil model (SoilPlusVeg) confirmed that these HLs were substantially due to biodegradation rather than other loss processes. Because no coherent PCDD/F degradation HL data sets are currently available for soil, they could substantially improve the predictions of soil remediation time, long-range transport, and food chain transfer of these chemicals using multimedia fate models.",2020.0,https://doi.org/10.1021/acs.est.0c01857,polychlorinated dibenzo-p-dioxin and dibenzofuran; PCDD,polychlorinated dibenzo-p-dioxin and dibenzofuran (Error); PCDD (Error)
10.1021/acs.est.0c04944,Applying Raman Microspectroscopy to Evaluate the Effects of Nutrient Cations on Alkane Bioavailability to <i>Acinetobacter baylyi</i> ADP1,"Li, Hanbing, Zhang, Dayi, Luo, Jun, Jones, Kevin C., Martin, Francis L.","Lancaster Environment Centre, Lancaster University, Lancaster LA1 4YQ, U.K.; State Key Laboratory of Pollution Control and Resource Reuse, School of the Environment, Nanjing University, Nanjing 210023, China | Lancaster Environment Centre, Lancaster University, Lancaster LA1 4YQ, U.K.; School of Environment, Tsinghua University, Beijing 100086, China | State Key Laboratory of Pollution Control and Resource Reuse, School of the Environment, Nanjing University, Nanjing 210023, China | Lancaster Environment Centre, Lancaster University, Lancaster LA1 4YQ, U.K.; State Key Laboratory of Pollution Control and Resource Reuse, School of the Environment, Nanjing University, Nanjing 210023, China | Biocel Ltd, Hull HU10 7TS, U.K.",Government of Jiangsu Province; Lancaster University; China Scholarship Council,"Contamination with petroleum hydrocarbons causes extensive damage to ecological systems. On oil-contaminated sites, alkanes are major components; many indigenous bacteria can access and/or degrade alkanes. However, their ability to do so is affected by external properties of the soil, including nutrient cations. This study used Raman microspectroscopy to study how nutrient cations affect alkanes' bioavailability to Acinetobacter baylyi ADP1 (a known degrader). Treated with Na, K, Mg, and Ca at 10 mM, A. baylyi was exposed to seven n-alkanes (decane, dodecane, tetradecane, hexadecane, nonadecane, eicosane, and tetracosane) and one alkane mixture (mineral oil). Raman spectral analysis indicated that bioavailability of alkanes varied with carbon chain lengths, and additional cations altered the bacterial response to n-alkanes. Sodium significantly increased the bacterial affinity toward decane and dodecane, and K and Mg enhanced the bioavailability of tetradecane and hexadecane. In contrast, the bacterial response was inhibited by Ca for all alkanes. Similar results were observed in mineral oil exposure. Our study employed Raman spectral assay to offer a deep insight into how nutrient cations affect the bioavailability of alkanes, suggesting that nutrient cations can play a key role in influencing the harmful effects of hydrocarbons and could be optimized to enhance the bioremediation strategy.",2020.0,https://doi.org/10.1021/acs.est.0c04944,alkanes; nonadecane; dodecane; Sodium; Mg; tetradecane; n-alkanes; Na; petroleum hydrocarbons; alkane; tetracosane; decane; Ca; K; hexadecane; carbon; eicosane; hydrocarbons,alkanes (Error); nonadecane (LQERIDTXQFOHKA-UHFFFAOYSA-N); dodecane (SNRUBQQJIBEYMU-UHFFFAOYSA-N); Sodium (KEAYESYHFKHZAL-UHFFFAOYSA-N); Mg (FYYHWMGAXLPEAU-UHFFFAOYSA-N); tetradecane (BGHCVCJVXZWKCC-UHFFFAOYSA-N); n-alkanes (Error); Na (KEAYESYHFKHZAL-UHFFFAOYSA-N); petroleum hydrocarbons (Error); alkane (Error); tetracosane (POOSGDOYLQNASK-UHFFFAOYSA-N); decane (DIOQZVSQGTUSAI-UHFFFAOYSA-N); Ca (OYPRJOBELJOOCE-UHFFFAOYSA-N); K (ZLMJMSJWJFRBEC-UHFFFAOYSA-N); hexadecane (DCAYPVUWAIABOU-UHFFFAOYSA-N); carbon (OKTJSMMVPCPJKN-UHFFFAOYSA-N); eicosane (CBFCDTFDPHXCNY-UHFFFAOYSA-N); hydrocarbons (Error)
10.1021/acs.est.9b06902,Wastewater Treatment Lagoons: Local Pathways of Perfluoroalkyl Acids and Brominated Flame Retardants to the Arctic Environment,"Gewurtz, Sarah B., Guerra, Paula, Kim, Min Gu, Jones, Frankie, Challen Urbanic, Jane, Teslic, Steven, Smyth, Shirley Anne","Science and Technology Branch, Environment and Climate Change Canada, 867 Lakeshore Road, Burlington, Ontario L7S 1A1, Canada | Science and Technology Branch, Environment and Climate Change Canada, 867 Lakeshore Road, Burlington, Ontario L7S 1A1, Canada | Science and Technology Branch, Environment and Climate Change Canada, 867 Lakeshore Road, Burlington, Ontario L7S 1A1, Canada | Science and Technology Branch, Environment and Climate Change Canada, 867 Lakeshore Road, Burlington, Ontario L7S 1A1, Canada | Science and Technology Branch, Environment and Climate Change Canada, 867 Lakeshore Road, Burlington, Ontario L7S 1A1, Canada | Science and Technology Branch, Environment and Climate Change Canada, 867 Lakeshore Road, Burlington, Ontario L7S 1A1, Canada | Science and Technology Branch, Environment and Climate Change Canada, 867 Lakeshore Road, Burlington, Ontario L7S 1A1, Canada",Chemicals Management Plan,"Concentrations of perfluoroalkyl acids (PFAAs), polybrominated diphenyl ethers (PBDEs), and ""Novel"" brominated flame retardants (NBFRs) were determined in lagoons processing wastewater from two high-Arctic and two sub-Arctic of Canada communities to assess the importance of local anthropogenic sources. ΣPFAAs in influent and effluent of the Arctic lagoons were within the lower end of the range of concentrations previously observed in Canadian temperate WWTPs. In comparison, influent and effluent concentrations of ΣPBDEs and NBFRs were significantly greater (p < 0.05) in high-Arctic lagoons compared to sub-Arctic and temperate plants. The surprisingly elevated concentrations of PBDEs and NBFRs in high-Arctic lagoons were probably related to high organic matter found in Arctic wastewater due to lower consumption of potable water leading to less dilution compared to temperate regions. Although PFAAs also sorb to solids, the wastewater samples were filtered prior to analysis of PFAAs (but not PBDEs and NBFRs), which likely reduced the impacts of solids on the results for PFAAs. Based on an extrapolation of per capita mass effluent loadings of the four Arctic lagoons, mass loadings to the Arctic of Canada via WWTP effluent were estimated as 1,405 g/year and 549 g/year for ΣPFAAs and ΣPBDEs, respectively.",2020.0,https://doi.org/10.1021/acs.est.9b06902,ΣPFAAs; perfluoroalkyl acids; PBDEs; polybrominated diphenyl ethers; PFAAs,ΣPFAAs (Error); perfluoroalkyl acids (Error); PBDEs (Error); polybrominated diphenyl ethers (Error); PFAAs (Error)
